date, ticker, positive, tweets
2017-02-01, XCOM, 0.391989, 116599
2017-02-01, SPX, 0.341038, 58019
2017-02-01, SPY, 0.592295, 73154
2017-02-01, SPP, 0.391673, 136920
2017-02-01, SPR, 0.410736, 786646
2017-02-01, SPU, 0.636686, 897542
2017-02-01, PHMD, 0.369743, 502876
2017-02-01, SPH, 0.759780, 203862
2017-02-01, SPI, 0.774094, 65595
2017-02-01, SPN, 0.683179, 71489
2017-02-01, SPA, 0.852932, 283528
2017-02-01, SPB, 0.734363, 574596
2017-02-01, MSSR, 0.686933, 10833
2017-02-01, SPE, 0.527698, 35564
2017-02-01, SPF, 0.559721, 54559
2017-02-01, SPG, 0.468800, 430979
2017-02-01, IXJ, 0.294362, 752518
2017-02-01, RCH.CA, 0.645590, 837033
2017-02-01, XPH, 0.106365, 644965
2017-02-01, XPO, 0.216351, 65073
2017-02-01, XPL, 0.338798, nan
2017-02-01, IXC, 0.665732, 542060
2017-02-01, IXG, 0.422824, 78141
2017-02-01, IXP, 0.340300, 179262
2017-02-01, XPP, 0.638154, 3688
2017-02-01, ASHS, 0.578001, 7904
2017-02-01, REMX, 0.517649, 205273
2017-02-01, JNP, 0.659357, 253051
2017-02-01, PQG, 0.379870, 220314
2017-02-01, JNY, 0.313881, 276812
2017-02-01, REML, 0.223217, 606914
2017-02-01, OKTA, 0.181406, 197925
2017-02-01, JNK, 0.560514, 78165
2017-02-01, JNJ, 0.560936, 293443
2017-02-01, TRHC, -0.462315, 516505
2017-02-01, BEN, 0.708360, 220330
2017-02-01, BEL, 0.328103, 313219
2017-02-01, DCN.X, 0.709705, 187616
2017-02-01, BEC, 0.281775, 362135
2017-02-01, GTIM, 0.384827, 435913
2017-02-01, BEE, 0.493967, 58868
2017-02-01, BEP, 0.447080, 847518
2017-02-01, GHDX, 0.445920, 285744
2017-02-01, BIRT, 0.715793, 427352
2017-02-01, ICAGY, 0.314393, 45922
2017-02-01, SBB.CA, 0.526110, 171946
2017-02-01, GRT, 0.575020, 26728
2017-02-01, TPRE, 0.660246, 446793
2017-02-01, GRR, 0.563618, 250085
2017-02-01, GRP, 0.717100, 605644
2017-02-01, EIRL, 0.364669, 257748
2017-02-01, GRZ, 0.258744, 277228
2017-02-01, GRX, 0.629976, 267491
2017-02-01, GRF, 0.452212, 317775
2017-02-01, GRB, 0.473868, 5916
2017-02-01, GRC, -0.011899, 131204
2017-02-01, GRA, 0.123754, 233659
2017-02-01, GRN, 0.436414, 480569
2017-02-01, GRO, 0.496698, 387435
2017-02-01, GRH, 0.348594, 156598
2017-02-01, GRI, 0.765243, 204734
2017-02-01, VEN.X, 0.431446, 396458
2017-02-01, NSLP, 0.604755, 154820
2017-02-01, AMRB, 0.846482, 32834
2017-02-01, DYAX, 0.511554, 119668
2017-02-01, HLX, 0.347539, 70617
2017-02-01, ITGR, 0.536850, 391499
2017-02-01, HLT, 0.574917, 578920
2017-02-01, HLS, 0.521871, 279150
2017-02-01, NOA, 0.562931, 233071
2017-02-01, NOC, 0.431868, 420778
2017-02-01, HLI, 0.521473, 58157
2017-02-01, HLF, 0.534394, 88553
2017-02-01, NOV, 0.362672, 644803
2017-02-01, NOW, 0.358212, 110939
2017-02-01, ATKR, 0.536442, 73542
2017-02-01, NOR, 0.622328, 80939
2017-02-01, OLLI, 0.489071, 74365
2017-02-01, SMDM, 0.544957, 186486
2017-02-01, SYPR, 0.708278, 177606
2017-02-01, ROFO, 0.546074, 53659
2017-02-01, HYB, 0.540314, 281973
2017-02-01, CTZN, 0.333295, 103517
2017-02-01, BWXT, 0.674368, 112531
2017-02-01, IFAS, 0.161674, 613015
2017-02-01, HYD, 0.221845, 49750
2017-02-01, SPW, 0.437294, 182246
2017-02-01, ENZ, 0.553678, 492450
2017-02-01, VRTX, 0.398665, 403688
2017-02-01, KTOV, 0.549033, 509853
2017-02-01, ARTW, 0.440205, 3821
2017-02-01, KTOS, 0.662157, 73103
2017-02-01, ARTX, 0.355906, 42911
2017-02-01, ARTC, 0.396959, 86455
2017-02-01, HYI, 0.663042, 359499
2017-02-01, EURNZD, 0.288731, 286260
2017-02-01, ARCX, 0.623790, 473443
2017-02-01, BFAM, 0.568193, 273692
2017-02-01, CGOOF, 0.336039, 184839
2017-02-01, DIVY, 0.298787, 458764
2017-02-01, DIVX, 0.375102, 144134
2017-02-01, SURG, 0.227339, 334821
2017-02-01, SGEN, 0.598756, 98206
2017-02-01, EDC, 0.333245, 508670
2017-02-01, EDF, 0.408574, 337185
2017-02-01, RLH, 0.226794, 215926
2017-02-01, EDD, 0.092625, 352673
2017-02-01, ZBRA, 0.489754, 372021
2017-02-01, RLD, 0.437138, 87920
2017-02-01, LMT, 0.708840, 493211
2017-02-01, EDR, 0.273429, 251103
2017-02-01, EDS, 0.445738, 578995
2017-02-01, SFUN, 0.529297, 479023
2017-02-01, HYS, 0.646706, 121449
2017-02-01, EDV, 0.633658, 40617
2017-02-01, RLX, 0.372053, 186929
2017-02-01, EDU, 0.199167, 273130
2017-02-01, EDZ, 0.532087, 62886
2017-02-01, LMB, 0.310321, 11043
2017-02-01, DPW, 0.615356, 359682
2017-02-01, ABAC, 0.865663, 276206
2017-02-01, DPU, 0.320821, 33883
2017-02-01, VVIX, 0.721931, 377902
2017-02-01, DPS, 0.255814, 247631
2017-02-01, GBPUSD, 0.497382, 681910
2017-02-01, VXUS, 0.611167, 607552
2017-02-01, MBA.CA, 0.259133, 244832
2017-02-01, DPZ, 0.535809, 626852
2017-02-01, DPG, 0.503228, 356029
2017-02-01, EVBG, 0.462635, 61876
2017-02-01, MOTR, 0.591201, 58257
2017-02-01, DPD, 0.704582, 184193
2017-02-01, FCBC, 0.664883, 143780
2017-02-01, ABAT, 0.704697, 540920
2017-02-01, PEER, 0.544595, 10193
2017-02-01, IXN, 0.442755, 4232
2017-02-01, ABAX, 0.610176, 683378
2017-02-01, DPK, 0.527543, 656376
2017-02-01, PEET, 0.270895, 694255
2017-02-01, COHU, 0.248762, 231395
2017-02-01, LF, 0.342493, 53944
2017-02-01, LG, 0.403844, 77217
2017-02-01, LD, 0.668147, 242877
2017-02-01, LE, 0.435448, 43955
2017-02-01, LB, 0.550772, 207639
2017-02-01, LC, 0.664458, 147453
2017-02-01, LN, 0.625916, 344051
2017-02-01, LO, 0.571460, 139904
2017-02-01, LL, 0.515919, 40819
2017-02-01, LM, -0.721066, 357866
2017-02-01, MINT.X, 0.390418, 689467
2017-02-01, LH, 0.380391, 710471
2017-02-01, LW, 0.312841, 296848
2017-02-01, LQ, 0.486987, 246666
2017-02-01, LZ, 0.622777, 249243
2017-02-01, LX, 0.689774, 353589
2017-02-01, CNTF, 0.582708, 146494
2017-02-01, DNG.CA, 0.788172, 394320
2017-02-01, NSANY, 0.655235, 588788
2017-02-01, HEAT, 0.629795, 32733
2017-02-01, HEAR, 0.405074, 16629
2017-02-01, NBHC, 0.393341, 181722
2017-02-01, FRGI, 0.571500, 409857
2017-02-01, SVNT, 0.366611, 51274
2017-02-01, CNTY, 0.624886, 79792
2017-02-01, CFN, 0.623132, 225667
2017-02-01, MNKD, 0.694577, 273089
2017-02-01, CFL, 0.434307, 1779
2017-02-01, CFI, 0.248474, 408230
2017-02-01, CFG, 0.513904, 529937
2017-02-01, CFD, 0.674474, 130259
2017-02-01, PNR, 0.435263, 125676
2017-02-01, HAIN, 0.757230, 561046
2017-02-01, PNW, 0.145544, 446670
2017-02-01, PNI, 0.586577, 851307
2017-02-01, PNK, 0.306795, 174894
2017-02-01, MRLN, 0.580898, 839270
2017-02-01, PNM, 0.403370, 396234
2017-02-01, CFX, 0.369545, 42548
2017-02-01, CFW, 0.601093, 164527
2017-02-01, CFT, 0.709370, 444835
2017-02-01, CFR, 0.633969, 397834
2017-02-01, PNG, 0.633739, 216113
2017-02-01, PNF, 0.532707, 99592
2017-02-01, AAAP, 0.322824, 8856
2017-02-01, TRUP, 0.374353, 26011
2017-02-01, CBOE, 0.514089, 45858
2017-02-01, CBOU, 0.548186, 235568
2017-02-01, TRUE, 0.507764, 96967
2017-02-01, ELOQ, 0.989053, 100846
2017-02-01, HYLD, 0.517769, 19975
2017-02-01, PRQR, 0.468992, 427908
2017-02-01, JNS, 0.537257, 718767
2017-02-01, MRX, 0.348975, 23674
2017-02-01, CHFN, 0.324134, 493638
2017-02-01, MRT, 0.535157, 28112
2017-02-01, JAXB, 0.626060, 88282
2017-02-01, HO_F, 0.406174, 83706
2017-02-01, ES_F, 0.296056, 672281
2017-02-01, MRH, 0.619226, 219093
2017-02-01, MRK, 0.683945, 172329
2017-02-01, CHFS, 0.565584, 637271
2017-02-01, MRF, 0.213092, 225429
2017-02-01, CCL.A.CA, 0.708968, 629235
2017-02-01, MRC, 0.492726, 114767
2017-02-01, APX, 0.632483, 125910
2017-02-01, ACGL, 0.398405, 299895
2017-02-01, APP, 0.503870, 26401
2017-02-01, ORBT, 0.846921, 264012
2017-02-01, APT, 0.577188, 123538
2017-02-01, APU, 0.438592, 527613
2017-02-01, ORBK, 0.606041, 318803
2017-02-01, API, 0.503143, 13301
2017-02-01, APO, 0.168751, 599604
2017-02-01, APL, 0.442232, 152594
2017-02-01, APB, 0.189372, 473819
2017-02-01, APC, 0.762040, 317805
2017-02-01, ORBC, 0.272973, 782588
2017-02-01, APA, 0.583490, 63495
2017-02-01, APF, 0.281123, 59873
2017-02-01, APD, 0.371702, 85003
2017-02-01, ADNT, 0.599086, 42431
2017-02-01, NCOM, 0.515929, 714740
2017-02-01, PKBK, 0.397962, 4989
2017-02-01, VIBE.X, 0.739092, 75143
2017-02-01, UCTT, 0.311889, 354577
2017-02-01, EMKR, 0.690229, 326371
2017-02-01, HNU.CA, 0.218903, 799501
2017-02-01, PAYX, 0.604300, 318378
2017-02-01, CSOD, 0.552693, 228238
2017-02-01, ARDNA, 0.489954, 2925
2017-02-01, MEDIA, 0.410946, 135779
2017-02-01, SLCA, 0.692209, 9708
2017-02-01, TRTLU, 0.712797, 53025
2017-02-01, IFC.CA, 0.484952, 688886
2017-02-01, PAYC, -0.683108, 469413
2017-02-01, KXI, 0.474656, 633748
2017-02-01, SASR, 0.396837, 211702
2017-02-01, VRUS, 0.514679, 179931
2017-02-01, VKL, 0.751963, 236527
2017-02-01, GTHX, 0.356075, 572716
2017-02-01, OCUL, 0.682126, 74257
2017-02-01, AEM.CA, 0.473850, 266927
2017-02-01, APIC, 0.480857, 545867
2017-02-01, COSS.X, 0.460965, 310305
2017-02-01, LAND, 0.719004, 29901
2017-02-01, LANC, 0.163823, 20356
2017-02-01, ETCHX, 0.498645, 387019
2017-02-01, RKUS, 0.554180, 263527
2017-02-01, SEB, 0.642656, 296976
2017-02-01, CNL.CA, 0.666276, 6429
2017-02-01, FMAT, 0.656652, 222792
2017-02-01, CRWS, 0.508674, 816482
2017-02-01, TLO.CA, 0.480220, 65503
2017-02-01, FTC.X, 0.335311, 257354
2017-02-01, FUEL.X, 0.416096, 436026
2017-02-01, NITE, 0.506533, 134205
2017-02-01, YAO, 0.510982, 150197
2017-02-01, USDTRY, 0.251315, 665132
2017-02-01, CRWN, 0.495355, 360842
2017-02-01, MBND, 0.567830, 139460
2017-02-01, SPAN, 0.296631, 484102
2017-02-01, RMGN, 0.424009, 605738
2017-02-01, SOCL, 0.558748, 86196
2017-02-01, DNKN, 0.533283, 436862
2017-02-01, ZEN.X, 0.672204, 545761
2017-02-01, SPAR, 0.489073, 85360
2017-02-01, GSC.CA, 0.372964, 86836
2017-02-01, ANSS, 0.696574, 170400
2017-02-01, ICUI, 0.621535, 741256
2017-02-01, BIIB, 0.344614, 313616
2017-02-01, PHIIK, 0.483563, 93521
2017-02-01, IMI, 0.597575, 160506
2017-02-01, SPM.CA, 0.502150, 22515
2017-02-01, RACE, 0.688983, 204350
2017-02-01, OAKS, 0.364192, 151904
2017-02-01, LNKD, 0.332597, 432197
